TEST ID;consent;What language can you program in? (List the different languages separated by a comma);How do you rate your knowledge of relational databases (e.g., MySQL))?(1 = never heard of it, 5 = can use it in a professional environment);How do you rate your knowledge of NoSQL databases (e.g., MongoDB, Cassandra)?(1 = never heard of it, 5 = can use it in a professional environment);Which one in particular?;How do you rate your knowledge of other graph structures beside property graphs (e.g., RDF and SPARQL)?(1 = never heard of it, 5 = can use it in a professional environment);Are you knowledgable of any of the following graph query languages?;Q1;Q2;Q3;Q4;Q5;Schema;Properties;Q6;Q7;Q8;Q9;Q10;Q11;Q12;Q13;Q14;Q15
student-27;Accept;C,C#,C++,Java, Python, PHP, R, JS, Angular, TypeScript...;4;4;Apache Cassandra, MongoDB, Couchbase;2;SQL/PGQ;;;;;0;1;0; Missing Distinct; Wrong information (count instead of list); Wrong Edge Direction, Wrong Property, Wrong Operator, Wrong Information; Wrong Operator (> instead of >=); Missing Condition, Missing Information;; Wrong Edge Direction;  Additional Node, Missing Information;; Added With 
student-28;Accept;C#, JS, TS, C/C++, python;4;2;MongoDB;3;OpenCypher;;;;;2;INVALID;INVALID; Missing Distinct; Wrong information (count instead of list);  Wrong Edge Direction, Wrong Property; Additional Information; Missing Condition, Missing Information;; Wrong Edge Direction;  Additional Node, Missing Information;; Added With
student-29;Accept;Javascript, Java, PHP, C, OCaml, C#, Dart;5;2;MongoDB;1;;Other;Other; Added Collect, Added With, Added Unwind; Added With, Added Collect;1;INVALID;INVALID; Added Collect in return shape; Missing Distinct; Wrong Edge Direction, Wrong Property, Wrong Operator, Wrong Information; Wrong Operator (> instead of >=); Wrong Information; Added Size(collect); Wrong Edge Direction, Additional Node; Missing Limit, Missing Information;;  Wrong Operator, Missing Information
student-30;Accept;Java, C/C++, Python;2;2;MongoDB;1;;;; Added Collect, Added With, Added Unwind; Added With, Added Collect;1;INVALID;INVALID; Added Collect in return shape; Added Collect in return shape;  Wrong Property, Wrong Information;; Missing Condition;;; Missing Limit, Missing Information;;  Wrong Edge Direction, Missing Information, Missing Limit
student-31;Accept;C, C++, Cypher, python, Java, SQL;3;2;Other;2;OpenCypher;;;;;1;1;1;;;;;;;;;;
student-32;Accept;C, C++, C#, python, java, php, sql, cypher, html, css, ocaml;4;2;MongoDB;2;OpenCypher;;;;;1;0.667;1;;;;;;;;;;
student-33;Accept;C, SQL, Cypher, Python, OCaml, C#, C++, Java, JavaScript, R, ProLog;4;2;Other;1;OpenCypher, GraphQL, SQL/PGQ;;;;;1;1;1;;; Wrong Edge Direction, Wrong Information; Missing Node; Missing Information;; Wrong Edge Direction; Missing Limit, Missing Information;;  Missing Node, Missing Information
student-34;Accept;C,C#,OCaml,Python,Lisp;4;2;Other;1;SQL/PGQ;;;;;1;1;1; Missing Distinct; Missing Distinct; Wrong Pattern, Wrong Property, Wrong Information;;  Missing Condition, Wrong Information;; Wrong Edge Direction; Missing Limit, Missing Information; Missing Node Label; Missing Information, Wrong Information
student-35;Accept;Python, java, C#, C, C++, dart, R,;5;3;Other;2;OpenCypher;;;;;3;1;1; Missing Distinct; Missing Distinct; Wrong Pattern, Wrong Property, Wrong Information; Missing Condition;  Missing Condition, Wrong Information; Wrong Edge Label (not capital letter); Wrong Edge Label (not capitalized);No Answer; Wrong Edge Label (not capitalized);No Answer
student-36;Accept;C,C++,C#,Java,Shell,Bash,Python,Ocaml,RSC-V,html,css;3;3;Other;3;OpenCypher, SQL/PGQ;;; Added Collect; Added Unwind, Added Collect;1;1;1; Wrong Distinct (on couple name,id); Wrong Distinct (on couple name,id); Wrong Pattern, Wrong Property, Wrong Information; Wrong Information; Added Collect; Added Size(collect); Wrong Edge Direction;Missing Limit;;No Answer
student-37;Accept;C,Python,Unix;4;3;MongoDB;1;SQL/PGQ;;;;;2;1;1;;;;;;;;;;
student-38;Accept;JavaScript , Java , C , C++ , Python , HTML;4;3;MongoDB;3;OpenCypher;;;;;3;0.947;1; Added Collect in return shape; Added Collect in return shape; Wrong Pattern, Wrong Property, Wrong Information;; Missing Condition, Missing Information;; Wrong Edge Direction;No Answer;No Answer;No Answer
student-39;Accept;Python;3;2;MongoDB;1;OpenCypher;;;;;1;1;1;;;;;;;;;;
student-40;Accept;C, Python, HTML, NodeJS;4;3;Other;1;;;;;;1;1;1;;;;;;;;;;
student-41;Accept;python,c,c#,R;4;3;Apache Cassandra, MongoDB;3;OpenCypher, GraphQL, SQL/PGQ, SPARQL;Other;Other;;;0;1;1;;;;;;;;;;
student-42;Accept;Python,C,Java;4;3;MongoDB;3;SQL/PGQ, SPARQL;;;;;1;1;1;;;;;;;;;;
student-43;Accept;python, html, css, javascript, java, c, ;4;3;MongoDB;2;;;;;;0;1;0;;;;;;;;;;
student-44;Accept;Python , Java , C , SQL ;4;4;MongoDB;2;OpenCypher, SPARQL;;;;;1;0.944;0;;;;;;;;;;
student-45;Accept;python , c , java;3;2;MongoDB, Redis;2;GraphQL, SPARQL;;; Added Collect, Added With, Added Unwind; Added Collect, Added With, Added Unwind;1;1;0;;;;;; Missing Condition; Wrong Edge Direction; Missing Limit, Missing Information;;.
student-46;Accept;python, java, c;4;3;MongoDB;2;OpenCypher, SPARQL; Added With; Added With; Missing Distinct; Missing Distinct;2;0.944;0;;;;;;;;;;
student-47;Accept;Python;4;4;Apache Cassandra, MongoDB;3;SQL/PGQ, SPARQL;;; Added Collect, Added With, Added Unwind; Added With, Added Collect;3;1;0;;;;;;;;;;
student-48;Accept;Python, C, C++, Java, SQL;5;3;MongoDB;3;SPARQL;;;;;2;1;0; Missing Distinct; Missing Distinct; Wrong Pattern, Wrong Property, Wrong Information; Missing Condition; Wrong Information;; Wrong Edge Direction; Missing Limit, Missing Information;;
student-49;Accept;python,java;3;2;Other;1;OpenCypher, SQL/PGQ;;; Missing Information; Added With, Added Collect;1;0.895;0;;;;;;;;;;
student-50;Accept;python;2;1;Other;2;OpenCypher, SPARQL;;;Other; Added With, Added Collect;1;1;1;;;;;;;;;;
student-51;Accept;Python, C, C++, Java, R, Octave, Matlab, Pascal, Arduino;4;3;Other;2;SQL/PGQ;;Other;Other; Missing Distinct;0;0.86;0; Missing Distinct; Added Collect in return shape; Wrong Information; Wrong Condition, Wrong Property; Missing Condition, Missing Information;;;;;
student-52;Accept;Java;4;4;Apache Cassandra;4;GraphQL, SQL/PGQ; Added With, Added Unwind;Other; Added Collect, Added With, Added Unwind; Added With, Added Collect;1;0.914;0;;;;;;;;;;
student-53;Accept;C, JAVA, PYTHON;4;3;Other;4;SPARQL;;; Missing Distinct; Missing Distinct;2;INVALID;INVALID; Missing Distinct; Added Collect in return shape; Wrong Information; Wrong Condition; Added Collect; Wrong Edge Direction; Wrong Edge Direction; Missing Limit, Missing Information;.;No Answer
student-54;Accept;java, ocaml, pyhton;4;4;Redis, Other;3;OpenCypher, SQL/PGQ, SPARQL;;;;;1;1;0;;; Wrong Edge Direction, Wrong Property, Missing Distinct, Missing Information; Missing Node; Missing Condition, Missing Information;; Wrong Edge Direction; Missing Limit, Missing Information;;  Missing Condition, 
student-55;Accept;python, java, sql, ;4;2;Apache Cassandra, MongoDB;2;SPARQL;;; Added Collect, Added With, Added Unwind; Added With;0;1;1;;;;;;;;;;
student-56;Accept;python, rust,java, C, C+, C++ ;5;5;Apache Cassandra, MongoDB;5;OpenCypher, GraphQL, SQL/PGQ, SPARQL;Other;Other; Added Collect, Added With, Added Unwind; Added With, Added Collect;1;INVALID;INVALID;;;;;;;;;;
student-57;Accept;Python, Java, SQL, Cypher, html, css, javascript;4;3;Apache Cassandra, MongoDB;3;OpenCypher, SQL/PGQ;;; Invalid input; Variable not defined;2;1;1; Missing Distinct; Missing Distinct; Wrong Pattern, Wrong Property, Wrong Operator, Missing Distinct, Wrong Information; Missing Node;No Answer;;;;;
student-58;Accept;java,python,R,C,js,php;4;2;MongoDB;3;SQL/PGQ; Added With, Added Unwind;; Added Collect, Added With, Added Unwind; Added Collect, Added With, Added Unwind;0;INVALID;INVALID0; Missing Distinct; Missing Distinct;No Answer;No Answer;No Answer;;;;;
